source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:05165,Human papillomavirus infection,0.0011368416208682014,True,Human papillomavirus infection,330,10,5,8484,0.5,0.015151515151515152,query_1,['KEGG:00000']
WP,WP:WP4673,Male infertility,0.0011767056439148877,True,Male infertility,145,9,4,8286,0.4444444444444444,0.027586206896551724,query_1,['WP:000000']
GO:BP,GO:0006974,DNA damage response,0.001269180996373036,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]",896,10,6,21031,0.6,0.006696428571428571,query_1,['GO:0033554']
WP,WP:WP1971,Integrated cancer pathway,0.0012753860291058114,True,Integrated cancer pathway,44,9,3,8286,0.3333333333333333,0.06818181818181818,query_1,['WP:000000']
GO:CC,GO:0016605,PML body,0.0014264151768488551,True,"""A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection."" [GOC:ma, PMID:10944585]",107,10,3,22097,0.3,0.028037383177570093,query_1,['GO:0016604']
GO:BP,GO:0072717,cellular response to actinomycin D,0.0014527636325816972,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an actinomycin D stimulus."" [GOC:mah]",4,10,2,21031,0.2,0.5,query_1,"['GO:0071236', 'GO:0072716', 'GO:1901653']"
GO:BP,GO:0018076,N-terminal peptidyl-lysine acetylation,0.0014527636325816972,True,"""The acetylation of the N-terminal lysine of proteins."" [GOC:ai]",4,10,2,21031,0.2,0.5,query_1,"['GO:0006474', 'GO:0018394']"
GO:BP,GO:0071494,cellular response to UV-C,0.0014527636325816972,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."" [GOC:mah]",4,10,2,21031,0.2,0.5,query_1,"['GO:0010225', 'GO:0034644']"
GO:BP,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,0.001610414504765628,True,"""Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",1588,10,7,21031,0.7,0.004408060453400504,query_1,"['GO:0006139', 'GO:0019219', 'GO:0031324', 'GO:0051172']"
GO:BP,GO:0071897,DNA biosynthetic process,0.0016124313016367662,True,"""The biosynthetic process resulting in the formation of DNA."" [GOC:mah]",192,10,4,21031,0.4,0.020833333333333332,query_1,"['GO:0006259', 'GO:0009059', 'GO:0034654']"
REAC,REAC:R-HSA-3899300,SUMOylation of transcription cofactors,0.001624720650866378,True,SUMOylation of transcription cofactors,41,10,3,10842,0.3,0.07317073170731707,query_1,['REAC:R-HSA-3108232']
HP,HP:0001042,High axial triradius,0.0017801336756289644,True,High axial triradius,2,7,2,4958,0.2857142857142857,1.0,query_1,['HP:0001018']
HP,HP:0008107,Plantar crease between first and second toes,0.0017801336756289644,True,The presence of unusually deep creases (ridges/wrinkles) on the skin of sole of foot located between the first and second toe.,2,7,2,4958,0.2857142857142857,1.0,query_1,['HP:0001869']
HP,HP:0034227,Aortic isthmus hypoplasia,0.0017801336756289644,True,A type of aortic arch hypoplasia whereby the isthmus (arch between the left subclavian and insertion of the patent ductus arteriosus/ligamentum arteriosum) has a diameter of less than 40% of the diameter of the ascending aorta.,2,7,2,4958,0.2857142857142857,1.0,query_1,['HP:0012304']
GO:MF,GO:0031625,ubiquitin protein ligase binding,0.0017872303659802887,True,"""Binding to a ubiquitin protein ligase enzyme, any of the E3 proteins."" [GOC:vp]",308,10,4,20212,0.4,0.012987012987012988,query_1,['GO:0044389']
HP,HP:0000022,Abnormal male internal genitalia morphology,0.001795946766194595,True,An abnormality of the male internal genitalia.,76,7,4,4958,0.5714285714285714,0.05263157894736842,query_1,"['HP:0000812', 'HP:0010461']"
GO:BP,GO:1903829,positive regulation of protein localization,0.0018323802861950785,True,"""Any process that activates or increases the frequency, rate or extent of a protein localization."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]",490,10,5,21031,0.5,0.01020408163265306,query_1,"['GO:0008104', 'GO:0032880', 'GO:0048522']"
GO:BP,GO:0031648,protein destabilization,0.0018963240102431549,True,"""Any process that decreases the stability of a protein, making it more vulnerable to degradative processes or aggregation."" [GOC:mah]",51,10,3,21031,0.3,0.058823529411764705,query_1,['GO:0031647']
GO:BP,GO:0010332,response to gamma radiation,0.0018963240102431549,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]",51,10,3,21031,0.3,0.058823529411764705,query_1,['GO:0010212']
REAC,REAC:R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,0.0021004927685463006,True,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,5,10,2,10842,0.2,0.4,query_1,['REAC:R-HSA-1834949']
GO:MF,GO:0044389,ubiquitin-like protein ligase binding,0.002235853487543461,True,"""Binding to a ubiquitin-like protein ligase, such as ubiquitin-ligase."" [GOC:jl]",326,10,4,20212,0.4,0.012269938650306749,query_1,['GO:0019899']
GO:BP,GO:0080135,regulation of cellular response to stress,0.002274265595912165,True,"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",512,10,5,21031,0.5,0.009765625,query_1,"['GO:0033554', 'GO:0050794', 'GO:0080134']"
CORUM,CORUM:2670,Er-alpha-p53-hdm2 complex,0.002291604131502019,True,Er-alpha-p53-hdm2 complex,3,8,2,3383,0.25,0.6666666666666666,query_1,['CORUM:0000000']
CORUM,CORUM:6127,DAXX-MDM2-USP7 complex,0.002291604131502019,True,DAXX-MDM2-USP7 complex,3,8,2,3383,0.25,0.6666666666666666,query_1,['CORUM:0000000']
CORUM,CORUM:3172,NUMB-TP53-MDM2 complex,0.002291604131502019,True,NUMB-TP53-MDM2 complex,3,8,2,3383,0.25,0.6666666666666666,query_1,['CORUM:0000000']
CORUM,CORUM:3170,Daxx-Axin-p53 complex,0.002291604131502019,True,Daxx-Axin-p53 complex,3,8,2,3383,0.25,0.6666666666666666,query_1,['CORUM:0000000']
CORUM,CORUM:571,p300-CBP-p270 complex,0.002291604131502019,True,p300-CBP-p270 complex,3,8,2,3383,0.25,0.6666666666666666,query_1,['CORUM:0000000']
GO:BP,GO:0006950,response to stress,0.0023054251093462515,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3855,10,9,21031,0.9,0.0023346303501945525,query_1,['GO:0050896']
HPA,HPA:0301372,lung; alveolar cells type II[≥Medium],0.0023067931671072518,True,lung; alveolar cells type II[≥Medium],1233,10,7,11019,0.7,0.0056772100567721,query_1,['HPA:0301371']
GO:BP,GO:0072716,response to actinomycin D,0.0024206586377262733,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an actinomycin D stimulus."" [GOC:mah]",5,10,2,21031,0.2,0.4,query_1,"['GO:0046677', 'GO:1901652']"
GO:MF,GO:0042802,identical protein binding,0.002459103379542596,True,"""Binding to an identical protein or proteins."" [GOC:jl]",2162,10,7,20212,0.7,0.0032377428307123032,query_1,['GO:0005515']
WP,WP:WP3959,DNA IR double strand breaks and cellular response via ATM,0.002511309620363119,True,DNA IR double strand breaks and cellular response via ATM,55,9,3,8286,0.3333333333333333,0.05454545454545454,query_1,['WP:000000']
GO:CC,GO:0016604,nuclear body,0.00252958917949274,True,"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]",895,10,5,22097,0.5,0.00558659217877095,query_1,"['GO:0005654', 'GO:0110165']"
REAC,REAC:R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,0.00279717265231259,True,TP53 Regulates Transcription of Cell Cycle Genes,49,10,3,10842,0.3,0.061224489795918366,query_1,['REAC:R-HSA-3700989']
GO:BP,GO:0035556,intracellular signal transduction,0.0028054861904749898,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2668,10,8,21031,0.8,0.0029985007496251873,query_1,['GO:0007165']
HP,HP:0006753,Neoplasm of the stomach,0.0028218805376931263,True,A tumor (abnormal growth of tissue) of the stomach.,85,7,4,4958,0.5714285714285714,0.047058823529411764,query_1,"['HP:0002577', 'HP:0007378']"
REAC,REAC:R-HSA-69481,G2/M Checkpoints,0.0029145083550605314,True,G2/M Checkpoints,167,10,4,10842,0.4,0.023952095808383235,query_1,['REAC:R-HSA-69620']
GO:CC,GO:0005829,cytosol,0.003062305984711601,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5487,10,9,22097,0.9,0.0016402405686167304,query_1,"['GO:0005737', 'GO:0110165']"
GO:CC,GO:0031981,nuclear lumen,0.0032317369152074778,True,"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",5521,10,9,22097,0.9,0.001630139467487774,query_1,"['GO:0005634', 'GO:0070013']"
GO:BP,GO:0034654,nucleobase-containing compound biosynthetic process,0.003386057715754654,True,"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]",4027,10,9,21031,0.9,0.0022349143282840824,query_1,"['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']"
GO:BP,GO:0070727,cellular macromolecule localization,0.003468345747868372,True,"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]",2742,10,8,21031,0.8,0.0029175784099197666,query_1,"['GO:0033036', 'GO:0051641']"
KEGG,KEGG:05203,Viral carcinogenesis,0.003522757974656014,True,Viral carcinogenesis,201,10,4,8484,0.4,0.01990049751243781,query_1,['KEGG:00000']
GO:BP,GO:1905323,telomerase holoenzyme complex assembly,0.003630067061709016,True,"""The aggregation, arrangement and bonding together of a set of components to form a telomerase holoenzyme complex."" [GO_REF:0000079, GOC:TermGenie, PMID:26305931]",6,10,2,21031,0.2,0.3333333333333333,query_1,['GO:0022618']
REAC,REAC:R-HSA-109606,Intrinsic Pathway for Apoptosis,0.0037566691343881653,True,Intrinsic Pathway for Apoptosis,54,10,3,10842,0.3,0.05555555555555555,query_1,['REAC:R-HSA-109581']
GO:BP,GO:0018130,heterocycle biosynthetic process,0.0040086386158395045,True,"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]",4105,10,9,21031,0.9,0.002192448233861145,query_1,"['GO:0044249', 'GO:0046483']"
GO:BP,GO:0007049,cell cycle,0.004046702142737618,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",1819,10,7,21031,0.7,0.0038482682792743265,query_1,['GO:0009987']
GO:BP,GO:0019438,aromatic compound biosynthetic process,0.0041041086812432575,True,"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]",4116,10,9,21031,0.9,0.002186588921282799,query_1,"['GO:0006725', 'GO:0044249']"
KEGG,KEGG:01524,Platinum drug resistance,0.004134708960801269,True,Platinum drug resistance,72,10,3,8484,0.3,0.041666666666666664,query_1,['KEGG:00000']
GO:BP,GO:0031669,cellular response to nutrient levels,0.0042522597632716165,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."" [GOC:mah]",245,10,4,21031,0.4,0.0163265306122449,query_1,"['GO:0031667', 'GO:0031668']"
HP,HP:0007400,Irregular hyperpigmentation,0.004263561116153618,True,Irregular hyperpigmentation,231,7,5,4958,0.7142857142857143,0.021645021645021644,query_1,['HP:0000953']
REAC,REAC:R-HSA-69541,Stabilization of p53,0.004425098748486442,True,Stabilization of p53,57,10,3,10842,0.3,0.05263157894736842,query_1,['REAC:R-HSA-69563']
HP,HP:0007379,Neoplasm of the genitourinary tract,0.004545489969116899,True,A tumor (abnormal growth of tissue) of the genitourinary system.,234,7,5,4958,0.7142857142857143,0.021367521367521368,query_1,"['HP:0000119', 'HP:0011793']"
CORUM,CORUM:4,Multisubunit ACTR coactivator complex,0.004577785552500539,True,Multisubunit ACTR coactivator complex,4,8,2,3383,0.25,0.5,query_1,['CORUM:0000000']
CORUM,CORUM:2842,DAXX-Axin-p53-HIPK2 complex,0.004577785552500539,True,DAXX-Axin-p53-HIPK2 complex,4,8,2,3383,0.25,0.5,query_1,['CORUM:0000000']
HP,HP:0012174,Glioblastoma multiforme,0.004604760848681741,True,"A tumor arising from glia in the central nervous system with macroscopic regions of necrosis and hemorrhage. Microscopically, glioblastoma multiforme is characterized by regions of pseudopalisading necrosis, pleomorphic nuclei and cells, and microvascular proliferation.",26,7,3,4958,0.42857142857142855,0.11538461538461539,query_1,['HP:0009733']
GO:BP,GO:0001756,somitogenesis,0.004749575181515673,True,"""The formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo."" [ISBN:0721662544]",69,10,3,21031,0.3,0.043478260869565216,query_1,"['GO:0009952', 'GO:0035282', 'GO:0043009', 'GO:0048646', 'GO:0061053']"
GO:BP,GO:0051222,positive regulation of protein transport,0.004830342864768865,True,"""Any process that activates or increases the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",253,10,4,21031,0.4,0.015810276679841896,query_1,"['GO:0015031', 'GO:0051050', 'GO:0051223', 'GO:1904951']"
KEGG,KEGG:05166,Human T-cell leukemia virus 1 infection,0.0048384053432511745,True,Human T-cell leukemia virus 1 infection,218,10,4,8484,0.4,0.01834862385321101,query_1,['KEGG:00000']
HP,HP:0011793,Neoplasm by anatomical site,0.004862125432872703,True,Neoplasm categorized according to the anatomical site of origin of the neoplasm.,861,7,7,4958,1.0,0.008130081300813009,query_1,['HP:0002664']
GO:BP,GO:0071479,cellular response to ionizing radiation,0.004961002071657424,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [GOC:mah]",70,10,3,21031,0.3,0.04285714285714286,query_1,"['GO:0010212', 'GO:0071478']"
HP,HP:0012189,Hodgkin lymphoma,0.0051772107669317835,True,A type of lymphoma characterized microscopically by multinucleated Reed-Sternberg cells.,27,7,3,4958,0.42857142857142855,0.1111111111111111,query_1,['HP:0002665']
GO:BP,GO:0007004,telomere maintenance via telomerase,0.005178574716318332,True,"""The maintenance of proper telomeric length by the addition of telomeric repeats by telomerase."" [GOC:elh]",71,10,3,21031,0.3,0.04225352112676056,query_1,"['GO:0006278', 'GO:0010833']"
HP,HP:0005322,Prominent nasal septum,0.005336809151028083,True,Prominent nasal septum,3,7,2,4958,0.2857142857142857,0.6666666666666666,query_1,['HP:0000419']
HP,HP:0005363,Humoral immunodeficiency,0.005336809151028083,True,A general term referring to a defect in immunity resulting from impaired antibody production.,3,7,2,4958,0.2857142857142857,0.6666666666666666,query_1,['HP:0002721']
HP,HP:5200232,Phobia,0.005336809151028083,True,"Extreme, irrational, and persistent fears of certain objects, situations, activities, or persons can impede functioning in day-to-day life.",3,7,2,4958,0.2857142857142857,0.6666666666666666,query_1,['HP:5200230']
HP,HP:0008752,Laryngeal cartilage malformation,0.005336809151028083,True,A malformation of the laryngeal cartilage.,3,7,2,4958,0.2857142857142857,0.6666666666666666,query_1,['HP:0025423']
HP,HP:0000756,Agoraphobia,0.005336809151028083,True,"A type of anxiety disorder characterized by the avoidance of public places, especially where crowds gather.",3,7,2,4958,0.2857142857142857,0.6666666666666666,query_1,['HP:5200232']
HP,HP:0005895,Radial deviation of thumb terminal phalanx,0.005336809151028083,True,Radial deviation of thumb terminal phalanx,3,7,2,4958,0.2857142857142857,0.6666666666666666,query_1,['HP:0009617']
GO:BP,GO:1901362,organic cyclic compound biosynthetic process,0.005598550323975042,True,"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]",4264,10,9,21031,0.9,0.0021106941838649157,query_1,"['GO:1901360', 'GO:1901576']"
GO:BP,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,0.005632500901403444,True,"""Any signaling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]",73,10,3,21031,0.3,0.0410958904109589,query_1,"['GO:0000082', 'GO:1901991', 'GO:1902807', 'GO:2000045']"
GO:BP,GO:0006278,RNA-templated DNA biosynthetic process,0.005632500901403444,True,"""A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand."" [GOC:mah, ISBN:0198506732]",73,10,3,21031,0.3,0.0410958904109589,query_1,['GO:0071897']
GO:BP,GO:0043627,response to estrogen,0.005632500901403444,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by an estrogen, C18 steroid hormones that can stimulate the development of female sexual characteristics."" [GOC:jl, ISBN:0198506732]",73,10,3,21031,0.3,0.0410958904109589,query_1,['GO:0009725']
REAC,REAC:R-HSA-9818028,NFE2L2 regulates pentose phosphate pathway genes,0.005872702754635096,True,NFE2L2 regulates pentose phosphate pathway genes,8,10,2,10842,0.2,0.25,query_1,['REAC:R-HSA-9759194']
GO:BP,GO:0032386,regulation of intracellular transport,0.00589157557785389,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances within cells."" [GOC:mah]",266,10,4,21031,0.4,0.015037593984962405,query_1,"['GO:0046907', 'GO:0051049', 'GO:0060341']"
GO:CC,GO:0005667,transcription regulator complex,0.006184297688147108,True,"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]",518,10,4,22097,0.4,0.007722007722007722,query_1,['GO:0032991']
HP,HP:0100835,Benign neoplasm of the central nervous system,0.006348748944228718,True,Benign neoplasm of the central nervous system,104,7,4,4958,0.5714285714285714,0.038461538461538464,query_1,['HP:0100006']
GO:BP,GO:0033365,protein localization to organelle,0.006461400123999881,True,"""A process in which a protein is transported to, or maintained in, a location within an organelle."" [GOC:mah]",1184,10,6,21031,0.6,0.005067567567567568,query_1,['GO:0008104']
HP,HP:0002664,Neoplasm,0.006483035906650554,True,An organ or organ-system abnormality that consists of uncontrolled autonomous cell-proliferation which can occur in any part of the body as a benign or malignant neoplasm (tumor).,897,7,7,4958,1.0,0.007803790412486065,query_1,['HP:0000118']
GO:BP,GO:0031668,cellular response to extracellular stimulus,0.006625155816151757,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."" [GOC:mah]",274,10,4,21031,0.4,0.014598540145985401,query_1,"['GO:0007154', 'GO:0009991', 'GO:0051716', 'GO:0071496']"
REAC,REAC:R-HSA-69563,p53-Dependent G1 DNA Damage Response,0.006890273396823867,True,p53-Dependent G1 DNA Damage Response,66,10,3,10842,0.3,0.045454545454545456,query_1,['REAC:R-HSA-69580']
REAC,REAC:R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,0.006890273396823867,True,p53-Dependent G1/S DNA damage checkpoint,66,10,3,10842,0.3,0.045454545454545456,query_1,['REAC:R-HSA-69615']
REAC,REAC:R-HSA-9614085,FOXO-mediated transcription,0.006890273396823867,True,FOXO-mediated transcription,66,10,3,10842,0.3,0.045454545454545456,query_1,['REAC:R-HSA-212436']
REAC,REAC:R-HSA-5357801,Programmed Cell Death,0.006935777459431448,True,Programmed Cell Death,208,10,4,10842,0.4,0.019230769230769232,query_1,['REAC:0000000']
GO:BP,GO:1902807,negative regulation of cell cycle G1/S phase transition,0.007150696092522138,True,"""Any signaling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]",79,10,3,21031,0.3,0.0379746835443038,query_1,"['GO:0044843', 'GO:1901988', 'GO:1902806']"
GO:BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",0.007150696092522138,True,"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage."" [GOC:go_curators]",79,10,3,21031,0.3,0.0379746835443038,query_1,"['GO:0042770', 'GO:0072331']"
GO:BP,GO:0036211,protein modification process,0.007527188490129748,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",3031,10,8,21031,0.8,0.0026393929396238865,query_1,"['GO:0019538', 'GO:0043412']"
REAC,REAC:R-HSA-69615,G1/S DNA Damage Checkpoints,0.00753884683895286,True,G1/S DNA Damage Checkpoints,68,10,3,10842,0.3,0.04411764705882353,query_1,['REAC:R-HSA-69620']
REAC,REAC:R-HSA-139915,Activation of PUMA and translocation to mitochondria,0.007546902716734258,True,Activation of PUMA and translocation to mitochondria,9,10,2,10842,0.2,0.2222222222222222,query_1,['REAC:R-HSA-114452']
REAC,REAC:R-HSA-6811555,PI5P Regulates TP53 Acetylation,0.007546902716734258,True,PI5P Regulates TP53 Acetylation,9,10,2,10842,0.2,0.2222222222222222,query_1,['REAC:R-HSA-6804758']
CORUM,CORUM:2638,HES1 promoter corepressor complex,0.007620614765493702,True,HES1 promoter corepressor complex,5,8,2,3383,0.25,0.4,query_1,['CORUM:0000000']
GO:CC,GO:0005694,chromosome,0.007926893497348018,True,"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]",1949,10,6,22097,0.6,0.0030785017957927143,query_1,['GO:0043232']
GO:BP,GO:0006338,chromatin remodeling,0.008126973462628204,True,"""A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."" [GOC:jid, GOC:vw, PMID:12042764, PMID:12697820]",664,10,5,21031,0.5,0.007530120481927711,query_1,['GO:0006325']
GO:BP,GO:0010833,telomere maintenance via telomere lengthening,0.008605260389193172,True,"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins and lengthening the telomeric DNA."" [GOC:dph, GOC:tb]",84,10,3,21031,0.3,0.03571428571428571,query_1,['GO:0000723']
GO:BP,GO:1900119,positive regulation of execution phase of apoptosis,0.00870553381547847,True,"""Any process that activates or increases the frequency, rate or extent of execution phase of apoptosis."" [GOC:mtg_apoptosis, GOC:TermGenie]",9,10,2,21031,0.2,0.2222222222222222,query_1,"['GO:0043065', 'GO:0097194', 'GO:1900117']"
WP,WP:WP186,Homologous recombination,0.009033476821045869,True,Homologous recombination,13,9,2,8286,0.2222222222222222,0.15384615384615385,query_1,['WP:000000']
REAC,REAC:R-HSA-9617629,Regulation of FOXO transcriptional activity by acetylation,0.009428986757483717,True,Regulation of FOXO transcriptional activity by acetylation,10,10,2,10842,0.2,0.2,query_1,['REAC:R-HSA-9614085']
REAC,REAC:R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,0.009428986757483717,True,Regulation of gene expression by Hypoxia-inducible Factor,10,10,2,10842,0.2,0.2,query_1,['REAC:R-HSA-1234174']
GO:BP,GO:0006886,intracellular protein transport,0.009527540449390285,True,"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]",686,10,5,21031,0.5,0.007288629737609329,query_1,"['GO:0008104', 'GO:0015031', 'GO:0046907']"
GO:BP,GO:0061053,somite development,0.009565408410830945,True,"""The progression of a somite from its initial formation to the mature structure. Somites are mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo."" [GOC:dph]",87,10,3,21031,0.3,0.034482758620689655,query_1,"['GO:0009790', 'GO:0060429']"
GO:BP,GO:0044773,mitotic DNA damage checkpoint signaling,0.009565408410830945,True,"""A signal transduction process involved in mitotic DNA damage checkpoint."" [GOC:mtg_cell_cycle, GOC:TermGenie]",87,10,3,21031,0.3,0.034482758620689655,query_1,"['GO:0000077', 'GO:0044774']"
HP,HP:0012126,Stomach cancer,0.009621906377204137,True,A cancer arising in any part of the stomach.,33,7,3,4958,0.42857142857142855,0.09090909090909091,query_1,['HP:0006753']
HPA,HPA:0301371,lung; alveolar cells type II[≥Low],0.009812809472147266,True,lung; alveolar cells type II[≥Low],1533,10,7,11019,0.7,0.0045662100456621,query_1,['HPA:0300000']
HP,HP:0100834,Neoplasm of the large intestine,0.009828105247541574,True,The presence of a neoplasm of the large intestine.,116,7,4,4958,0.5714285714285714,0.034482758620689655,query_1,"['HP:0002250', 'HP:0007378']"
HP,HP:0001128,Trichiasis,0.01066643889973411,True,Inversion and rubbing of the eyelashes against the globe of the eye.,4,7,2,4958,0.2857142857142857,0.5,query_1,['HP:0000499']
HP,HP:0031207,Hepatic hemangioma,0.01066643889973411,True,A congenital vascular malformation in the liver composed of masses of blood vessels that are atypical or irregular in arrangement and size.,4,7,2,4958,0.2857142857142857,0.5,query_1,"['HP:0002896', 'HP:0410266']"
HP,HP:0006200,Widened distal phalanges,0.01066643889973411,True,Widened distal phalanges,4,7,2,4958,0.2857142857142857,0.5,query_1,['HP:0006009']
HP,HP:0011087,Talon cusp,0.01066643889973411,True,Talon cusp is an accessory cusp located near the cingulum (the portion of the lingual or palatal aspect of the tooth that forms a convex protuberance at the cervical third of the anatomic crown).,4,7,2,4958,0.2857142857142857,0.5,query_1,['HP:0033777']
HP,HP:0410266,Visceral hemangioma,0.01066643889973411,True,"A hemangioma arising from within visceral structures, the internal organs of the body.",4,7,2,4958,0.2857142857142857,0.5,query_1,['HP:0001028']
HP,HP:0010775,Vascular ring,0.01066643889973411,True,A developmental defect of the aortic arch system in which the trachea and esophagus are completely encircled by connected segments of the aortic arch and its branches. This occurs if the normal process of regression and persistence of the bilateral embryonic aortic arches fails.,4,7,2,4958,0.2857142857142857,0.5,query_1,['HP:0011587']
WP,WP:WP2446,Retinoblastoma gene in cancer,0.010670934810019784,True,Retinoblastoma gene in cancer,89,9,3,8286,0.3333333333333333,0.033707865168539325,query_1,['WP:000000']
